country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Spain,Vitoria-Gasteiz,-2.66087,42.84443,2/23/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4928,115646
Germany,Mühlhausen/Thüringen,10.429,51.202,1/23/2023,12/31/1969,Not applicable,Anatidae (unidentified),1,1,wild,4381,115040
Panama,Vistamar,-79.94976,8.49227,3/9/2023,12/31/1969,Other,Brown Pelican,2,2,wild,4789,115724
Türkiye,Kocabas,29.3012,37.8151,2/22/2023,12/31/1969,Farm,Birds,2000,30781,domestic,4878,114584
France, Congis-sur-Thérouanne (77126) ,2.9767878919,48.998396433,2/9/2023,2/20/2023,Natural park,Red Fox,1,1,wild,4941,114866
India,Government Poultry Farm Bokaro,86.1382,23.6292,2/1/2023,12/31/1969,Farm,Birds,2615,2615,domestic,4950,115278
Germany,Karlsfeld,11.46,48.22,3/12/2023,3/12/2023,Not applicable,Laridae (unidentified),1,1,wild,4026,115725
Germany,Lahnau,8.56,50.57,2/22/2023,12/31/1969,Not applicable,Laridae (unidentified),0,1,wild,4256,114825
Russia,Komsomol'skaya,136.920542,50.590526,10/22/2022,3/5/2023,Farm,Birds,381314,381314,domestic,4690,108372
Nepal,Chunikhel Lalitpur metropolitan city-22,85.304177,27.617146,2/22/2023,12/31/1969,Farm,Birds,3600,3600,domestic,4884,115760
Hungary,Ács,17.98432,47.738884,3/3/2023,12/31/1969,Other,Birds,0,0,domestic,4834,115256
Germany,Nindorf,9.11,54.08,3/13/2023,12/31/1969,Farm,Birds,20,20,domestic,4530,115942
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Indian Peafowl;Eurasian Sparrowhawk;Common Guineafowl;Mallard;Greater Flamingo;Andean Condor;Ostrich,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Birds,0,0,domestic,4895,113772
Hungary,Csengele,19.8481,46.5393,11/26/2022,12/1/2022,Farm,Birds,0,0,domestic,4706,109885
United Kingdom,Castletown Rushen Isle of Man,-4.65,54.077,2/27/2023,2/27/2023,Other,Greater White-fronted Goose,1,1,wild,4954,115423
Romania,CODLEA,25.461333,45.736138,1/31/2023,2/1/2023,Natural park,Common Raven,2,2,wild,4730,113439
Nigeria,Birnin Kebbi Central Market,4.20653,12.44144,6/26/2008,6/26/2008,Not applicable,Birds,0,1,domestic,510,10876
Bolivia,Sacaba,-65.98806,-17.41183,1/31/2023,2/6/2023,Other,Blue-and-white swallow,4,4,wild,4901,114086
Italy,Catania,14.2535,37.4718,2/16/2006,2/24/2006,Not applicable,Wildlife (species unspecified),1,1,wild,95,1749
Czech Republic,Chocen,16.2261,49.9835,7/10/2007,8/9/2007,Farm,Birds,0,0,domestic,266,4506
Germany,Gescher,7.01,51.96,3/9/2023,3/12/2023,Not applicable,Anatidae (unidentified),2,2,wild,4128,115738
Sweden,Ekerö,17.649828,59.330899,2/18/2023,2/18/2023,Other,Mute Swan,1,1,wild,4833,115117
Iran,Nogardan,52.33643,36.40691,6/11/2015,7/28/2015,Village,Birds,17,19,domestic,1771,35903
Switzerland,Feuerthalen 2,8.65,47.69,3/9/2006,6/11/2006,Not applicable,Wildlife (species unspecified),1,1,wild,151,2338
Malaysia,Permatang Bogak,100.413888,5.531944,3/17/2006,3/21/2006,Village,Birds,6,6,domestic,120,1948
Germany,Dossenheim,8.638,49.442,3/6/2023,3/6/2023,Not applicable,Laridae (unidentified),1,1,wild,4101,115719
Czech Republic,Lednice,16.8295,48.7843,6/25/2007,7/28/2007,Not applicable,Wildlife (species unspecified),1,1,wild,271,4075
United Kingdom,Knettishall,0.86437,52.39228,11/13/2007,4/28/2008,Farm,Birds,0,3,domestic,404,9705
Saudi Arabia,Al-Gamma,49.525,26.4412,3/11/2007,3/26/2007,Village,Birds,106,106,domestic,220,3463
Kuwait,Koweit,47.8971,29.3212,11/8/2005,11/8/2005,Not applicable,Wildlife (species unspecified),0,1,wild,162,2582
Niger,Niamey,2.14,13.48,1/6/2017,9/19/2017,Farm,Birds,2993,4893,domestic,1953,47307
Cote D'Ivoire,SO.GB,-6.586,4.63333,6/9/2006,1/30/2007,Village,Birds,5,5,domestic,64,3094
India,Kureepuzha Regional Poultry Farm,76.34,8.55,1/17/2015,6/22/2015,Farm,Birds,1628,1628,domestic,1648,34425
Azerbaijan,Karadag,49.6615,40.3157,1/28/2006,1/28/2006,Not applicable,Wildlife (species unspecified),1,1,wild,107,1886
Hong Kong,Mission Hill,114.168055,22.330277,1/6/2007,1/6/2007,Not applicable,Wildlife (species unspecified),1,1,wild,116,1919
United Kingdom,Upper Holton,1.525067,52.364697,1/26/2007,6/24/2007,Farm,Birds,2500,7000,domestic,127,2065
Laos,Latkhouay Farm,102.6615,18.0586,4/26/2010,5/26/2010,Farm,Birds,44,44,domestic,858,13874
Poland,Sadlowo Parcele,19.55,52.58,12/21/2007,1/30/2008,Village,Birds,20,20,domestic,420,9862
India,Fatehpur,84.58,24.46,1/9/2012,2/2/2012,Not applicable,Wildlife (species unspecified),6,6,wild,1187,17928
Russia,Prokudino,37.739267,51.156382,1/25/2023,3/8/2023,Backyard,Birds,1,1,domestic,4889,113556
Italy,Sorgà,10.965408,45.215765,3/5/2023,3/8/2023,Farm,Birds,50,50,domestic,4953,115373
Denmark,Kerteminde,10.5816,55.3931,5/15/2006,5/28/2006,Farm,Birds,47,47,domestic,4,4
Togo,MaritimeTogo,1.1839,6.5048,6/6/2017,10/23/2017,Farm,Birds,3448,3600,domestic,2309,50334
Romania,Murighiol,29.1311,44.8848,11/26/2007,12/26/2007,Farm,Birds,31,31,domestic,417,9712
Germany,Herzlake,7.628137,52.674548,4/29/2013,6/19/2013,Farm,Birds,0,69,domestic,1323,22497
Austria,Braunau am Inn,12.97,48.17,1/29/2023,2/23/2023,Farm,Birds,2,2,domestic,4847,113360
China (People's Rep. of),Cheng'guan,91.14,29.65,4/11/2009,5/2/2009,Farm,Birds,1500,1500,domestic,615,12020
Malaysia,Kg. Paloh,102.1515994,5.884719,3/11/2017,3/31/2017,Backyard,Birds,0,5,domestic,2225,51237
China (People's Rep. of),Dongjian,110.49,21.04,9/10/2012,10/17/2012,Farm,Birds,6300,14050,domestic,1285,21742
Norway,Tyngenes fyr,5.58311,59.03623,11/8/2022,12/31/1969,Other,Mute Swan,3,0,wild,4266,109465
Ukraine,Strilkove,33.2833,46.6813,4/19/2006,7/23/2006,Not applicable,Wildlife (species unspecified),6,56,wild,158,2487
Thailand,Village No 9,104.6612,16.5085,3/18/2007,6/17/2007,Village,Birds,26,26,domestic,110,3030
Russia,Dovolnoe,79.67,54.502,5/10/2015,5/18/2015,Not applicable,Rook,0,1,wild,1766,36841
Honduras,Tela Atlantida,-87.5416,15.805,2/21/2023,12/31/1969,Other,Brown Pelican,7,7,wild,4824,115611
Myanmar,Fame Kar village,95.43049,22.76914,3/15/2011,4/13/2011,Farm,Birds,350,350,domestic,994,16175
Israel,BINYAMINA-GIV'AT ADA,34.9647465364,32.5195133375,12/26/2007,1/3/2008,Farm,Birds,12,12,domestic,432,9894
India,Hessarghatta,77.3,13.04,10/11/2012,2/12/2013,Farm,Birds,3481,3481,domestic,1301,21798
Hungary,Kiskunmajsa,19.727489,46.537062,3/4/2023,3/6/2023,Farm,Birds,66,66,domestic,4693,115578
Romania,Sinoe Lake,28.563,44.3937,3/24/2015,4/27/2015,Not applicable,Dalmatian pelican,64,64,wild,1723,35214
Slovakia,Dunajská Streda,17.6174,47.99079,2/17/2006,2/23/2006,Not applicable,Wildlife (species unspecified),1,1,wild,117,2659
Afghanistan,Tisha,71.13,34.95,3/18/2006,3/18/2006,Village,Wildlife (species unspecified),1,1,wild,55,1008
Bulgaria,Vidin,22.7137,43.7582,1/30/2006,1/30/2006,Not applicable,Wildlife (species unspecified),1,1,wild,106,1883
Thailand,Village No 6,99.5029,15.2329,11/9/2008,11/11/2008,Village,Birds,5,5,domestic,570,11404
Thailand,Village No. 5,100.5854,16.9902,1/8/2007,4/19/2007,Farm,Birds,100,130,domestic,94,1713
Iraq,Sahat Al-aradate,47.1001,32.0056,1/17/2006,2/6/2006,Village,Birds,2,2,domestic,105,1882
Hong Kong,Hok Tau,114.173739,22.50499,12/28/2009,12/28/2009,Not applicable,Wildlife (species unspecified),1,1,wild,793,12767
China (People's Rep. of),Nanhai Prefecture,99.1,36.6,5/26/2009,6/25/2009,Not applicable,Wildlife (species unspecified),162,0,wild,668,12178
China (People's Rep. of),Nanhai Prefecture,99.1,36.6,5/26/2009,6/25/2009,Not applicable,Birds,0,0,domestic,668,12178
Cambodia,Laork,105.38,12.06,4/5/2007,5/19/2007,Village,Birds,302,302,domestic,197,3219
India,Janave Jalgaon Ichkheda,76.7645,20.93158,4/17/2006,4/26/2006,Village,Birds,0,0,domestic,100,1857
China (People's Rep. of),Qionglin village,94.22,29.12,5/12/2013,6/17/2013,Village,Birds,35,35,domestic,1368,22509
Nepal,Khadakagaun,85.3016,27.6435,3/15/2012,3/29/2012,Farm,Birds,6646,6646,domestic,1150,19668
Djibouti,Boulaos,43.0869,11.5625,4/5/2006,5/25/2006,Farm,Birds,4,4,domestic,164,2613
Nepal,Godawari municipality,85.37749,27.60447,6/3/2018,9/9/2018,Farm,Birds,1340,1340,domestic,2560,55684
Afghanistan,Shahshahid,69.05,34.54,3/4/2007,4/29/2007,Village,Birds,35,35,domestic,157,3000
Palestinian Territory,Sealet al Harthieh,35.3264,32.3359,2/26/2011,3/13/2011,Farm,Birds,2000,2000,domestic,1015,16017
Niger,Boko-Maigao Najiko Tabadama,7.298,14.2217,4/24/2006,6/8/2006,Village,Birds,530,700,domestic,8,95
United Kingdom,Abbotsbury,-2.4582,50.6185,12/26/2007,3/26/2008,Not applicable,Wildlife (species unspecified),0,1,wild,434,10103
Hong Kong,Tuen Mun Park,113.96,22.43,12/2/2007,12/2/2007,Not applicable,Wildlife (species unspecified),1,1,wild,448,10105
China (People's Rep. of),Junction of three villages,102.8,24.13,3/1/2014,4/30/2014,Village,Birds,29600,29600,domestic,1486,23858
Japan,Higashiasahi-machi,133.065765,35.46358,3/5/2011,3/5/2011,Not applicable,Wildlife (species unspecified),1,1,wild,978,16463
France,Versailleux,5.1,45.9833333,2/22/2006,3/17/2006,Farm,Birds,400,10500,domestic,133,2147
Russia,Solnechnoe,46.518353,43.278075,2/1/2023,12/31/1969,Other,Mute Swan,5,5,wild,4846,113949
Sudan,Nagali,31.64081,4.89029,4/16/2006,9/3/2006,Village,Birds,0,0,domestic,75,1916
Laos,Ban Meuang Khoua,102.3025,21.0493,1/29/2009,4/3/2009,Village,Birds,730,730,domestic,623,11800
Israel,Ein Gedi,35.3888,31.4586,4/28/2010,5/12/2010,Not applicable,Birds,2,2,domestic,852,13759
Ukraine,Piski,34.78,50.92,6/10/2006,6/20/2006,Village,Birds,335,335,domestic,210,3532
Slovenia,Melje,15.665555,46.556111,3/29/2006,5/5/2006,Not applicable,Wildlife (species unspecified),1,1,wild,131,2108
Germany,Hamburg,9.74,53.57,2/14/2023,12/31/1969,Not applicable,Anatidae (unidentified),0,1,wild,4127,114824
Germany,Mutzschen,12.893,51.259,4/4/2006,7/27/2006,Farm,Birds,800,801,domestic,143,2199
Cambodia,Phnom Tamao zoo,104.83,11.28,7/12/2011,7/24/2011,Not applicable,Wildlife (species unspecified),19,29,wild,1086,16725
India,Joda,85.34,21.37,1/30/2014,2/20/2014,Not applicable,House Crow,2,2,wild,1508,23796
Hungary,Békéscsaba,21.069071,46.68616,3/5/2023,3/6/2023,Farm,Birds,111,111,domestic,4750,115572
Cambodia,Bayarb,105.7,11.11,1/24/2017,1/30/2017,Backyard,Birds,68,68,domestic,2176,46482
Bulgaria,Constantine & Elena resort,28.011,43.2363,3/28/2010,6/2/2010,Not applicable,Wildlife (species unspecified),1,1,wild,835,13424
Czech Republic,Kostice,16.9564,48.6962,5/18/2006,6/13/2006,Village,Wildlife (species unspecified),2,2,wild,5,6
Austria,Mellach,15.51,46.93,2/12/2006,4/25/2006,Not applicable,Wildlife (species unspecified),2,2,wild,61,1097
Lithuania,Krivenai,23.7545,55.1189,6/22/2022,9/28/2022,Body of water,Black-headed Gull,50,50,wild,4333,104428
Estonia,Urge,24.792034,59.19084,2/14/2023,12/31/1969,Farm,Birds,24,24,domestic,4945,115076
Nepal,Deurali VDC ward No 6 Jhyalbas,84.063,27.683,3/7/2010,3/29/2010,Village,Birds,216,216,domestic,813,13379
Togo,Sigbehoue,1.616667,6.25,6/5/2007,12/30/2007,Farm,Birds,2505,2505,domestic,272,4794
Moldova,Curesnita village,28.1802,48.2288,1/18/2023,2/19/2023,Backyard,Birds,5,11,domestic,4851,112582
Mongolia,Zegst lake,113.4958,45.175,4/4/2011,5/21/2011,Not applicable,Wildlife (species unspecified),3,3,wild,1042,16373
Togo,AGBATA-DAGUE,1.385578,6.200039,9/8/2008,1/15/2009,Farm,Birds,4231,4231,domestic,544,11118
Hong Kong,Lantau Island,113.902009,22.288818,12/17/2010,12/17/2010,Not applicable,Birds,1,0,domestic,979,15467
Russia,Ubsu-Nur,92.9853,50.8434,6/10/2009,6/23/2009,Not applicable,Wildlife (species unspecified),58,58,wild,687,12208
Georgia,Adlia,41.59,41.62,2/22/2006,2/22/2006,Not applicable,Wildlife (species unspecified),9,10,wild,65,1103
Korea (Dem People's Rep. of),Ryonggung ri,125.77,38.67,4/9/2014,12/31/1969,Village,Birds,136,501,domestic,1529,24220
Cameroon,Maroua (quartier Doualaré),14.25325,10.60883,2/20/2006,3/11/2006,Village,Birds,50,50,domestic,144,2259
Nepal,Nawaganga Poultry Farm (Anand Poultry Farm),84.369,27.668,10/24/2010,10/29/2010,Farm,Birds,66,66,domestic,964,15370
Jordan,Kofranja,35.77581,32.46182,3/22/2006,3/26/2006,Farm,Birds,20,21,domestic,113,1905
Spain,Embalse de Salburúa,-2.6503,42.8619,6/29/2006,8/6/2006,Not applicable,Wildlife (species unspecified),1,1,wild,15,16
Hungary,Csátalja,19.3846,46.4896,2/3/2006,2/28/2006,Village,Wildlife (species unspecified),2,2,wild,72,1328
Russia,Machachkala,47,43,2/4/2006,2/15/2006,Farm,Birds,0,0,domestic,149,2298
Bosnia and Herzegovina,Plivsko lake,17.18855,44.34694,2/15/2006,2/15/2006,Not applicable,Wildlife (species unspecified),0,2,wild,62,1798
Turkey,Sinop,35.054491,41.898423,2/10/2008,3/11/2008,Village,Birds,13,13,domestic,440,10246
Hungary,Szank,19.3959,46.4896,6/9/2006,10/15/2006,Farm,Birds,0,0,domestic,73,1335
Laos,Dong Bang,102.60814,17.98217,7/13/2006,7/13/2006,Farm,Birds,2500,2500,domestic,112,1902
United States of America,Shenandoah County,-77.535,37.825,7/6/2007,8/3/2007,Farm,Birds,0,0,domestic,287,4559
Hong Kong,Yuen Long,114.013,22.449,12/7/2008,1/4/2009,Farm,Birds,285,285,domestic,589,11484
China (People's Rep. of),Ya Shan,112.5,22.29,6/12/2008,7/9/2008,Village,Birds,3873,3873,domestic,499,10810
Bolivia,Sacaba - Com. Catachilla,-65.991244,-17.414642,1/20/2023,12/31/1969,Farm,Birds,10436,10436,domestic,4870,113140
Cambodia,Kraing Chek village,104.88,11.4,12/15/2008,12/24/2008,Village,Birds,120,120,domestic,599,11536
Pakistan,M/S Hamid poultry farm,72.85,34.1333,6/16/2008,6/18/2008,Farm,Birds,4000,4000,domestic,500,10816
Mongolia,Doroo nuur,101.1138,49.0213,7/31/2009,10/11/2009,Not applicable,Wildlife (species unspecified),171,171,wild,708,12275
Kazakhstan,Golubovka,74.18,53.13,7/21/2005,7/31/2005,Farm,Birds,400,0,domestic,237,3672
Kuwait,Wafra,48.0632,28.5911,3/25/2007,4/24/2007,Farm,Birds,12,12,domestic,161,3462
Nigeria,Nsugbe,6.80831,6.22783,9/30/2007,1/8/2008,Farm,Birds,179,179,domestic,88,10181
Germany,Dresden Stadt,13.754364,51.037512,8/2/2006,9/2/2006,Not applicable,Wildlife (species unspecified),1,1,wild,46,609
Nepal,Itahari Municipality 7,87.26086389,26.65233889,2/12/2014,5/21/2014,Farm,Birds,570,570,domestic,1510,23833
Hong Kong,Mouse Island children’s playground Hoi Wing Road,113.97569,22.382916,1/24/2013,1/24/2013,Not applicable,Black-headed Gull,1,1,wild,1334,22133
Mongolia,Lake Hunt,102.7474,48.7682,6/4/2006,6/4/2006,Not applicable,Wildlife (species unspecified),12,12,wild,121,1951
Russia,Makarkin,47.845623,45.41222,4/16/2015,4/26/2015,Not applicable,Dalmatian pelican,5,5,wild,1739,35386
Cambodia,Kandal,104.62,10.65,3/17/2014,3/19/2014,Village,Birds,301,301,domestic,1503,23910
Pakistan,M/S Munir Hussain Havellian,73.13,34.12,3/2/2008,3/3/2008,Farm,Birds,100,350,domestic,134,10290
Chinese Taipei,Luchu Township,121.1326,25.0435,7/6/2012,7/6/2012,Not applicable,Birds,0,37,domestic,1262,21542
Russia,Market Sadovod,37.46,55.38,2/18/2007,3/15/2007,Village,Birds,81,325,domestic,141,11274
Vietnam,Cuc Phuong National Park,105.3851,20.1803,3/1/2008,3/22/2008,Not applicable,Wildlife (species unspecified),6,6,wild,464,10315
Germany,Zörbig,12.14,51.65,3/5/2023,12/31/1969,Not applicable,Accipitridae (unidentified),1,1,wild,4131,115793
Israel,Kerem Shalom,34.9034,30.6549,3/29/2006,4/1/2006,Farm,Birds,50,150,domestic,10,621
Bulgaria,Srebarna,27.07,44.11,3/22/2015,6/30/2015,Not applicable,Dalmatian pelican,21,21,wild,1696,35192
Hong Kong,Sham Shek Tsuen,113.89404,22.28221,2/28/2011,2/28/2011,Not applicable,Birds,1,1,domestic,995,16003
United States of America,Lincoln County,-100.751,41.134,2/23/2023,12/31/1969,Not applicable,Striped Skunk,1,1,wild,4451,115595
Turkey,Kiziksa,27.96,40.04,9/30/2005,12/7/2005,Farm,Birds,1700,1700,domestic,209,3411
Israel,Nature - Jordan Valley,35.4413528952,32.0434139641,4/5/2011,4/6/2011,Not applicable,Wildlife (species unspecified),1,1,wild,1039,16332
Iraq,Al-badiar,45.636306,31.942889,1/24/2016,2/1/2016,Farm,Birds,800,800,domestic,1938,40182
China (People's Rep. of),Zhuba,96.51,30.3,3/27/2008,6/5/2008,Village,Birds,268,268,domestic,156,10446
Czech Republic,Kovárov,14.12447,48.68935,4/6/2006,5/8/2006,Not applicable,Wildlife (species unspecified),1,1,wild,124,1986
Lebanon,Sariin Tehta,36.1956,33.8421,5/9/2016,5/31/2016,Farm,Birds,20000,20000,domestic,1937,40384
India,Madhubani,87.27,25.47,2/26/2013,6/14/2013,Farm,Birds,338,338,domestic,1341,22222
United Kingdom,Townsend Hertfordshire,0.35,51.75,3/2/2023,3/2/2023,Other,Mute Swan,1,1,wild,4643,115594
Indonesia,Rumoong Bawah,123.2152,0.6289,8/27/2006,12/31/1969,Village,Birds,650,650,domestic,99,1822
Thailand,N°13,104.464799,17.236,7/23/2006,8/1/2006,Village,Birds,2241,2241,domestic,19,616
Myanmar,Minyat quarter,96.2427,18.3746,7/27/2007,7/27/2007,Farm,Birds,50,50,domestic,166,4818
Bangladesh,Rajshashi Medical College Campus,88.676,24.9147,1/14/2017,2/28/2017,Other,House Crow,144,144,wild,2167,46329
Turkey,Düzalan,41.0949,38.0799,2/16/2007,3/9/2007,Village,Birds,2,2,domestic,140,2666
Laos,Nakae Dongdamduang Latxavongxay Savsang Tai,104.8,16.4,2/27/2007,3/22/2007,Village,Birds,3600,3600,domestic,150,2993
Greece,Alykes village of Epanomi,22.9,40.4166,3/3/2006,3/3/2006,Not applicable,Wildlife (species unspecified),1,1,wild,67,1119
Germany,Plön,10.43,54.15,2/22/2023,3/2/2023,Not applicable,Anatidae (unidentified),1,1,wild,4012,115184
Croatia,Novi Zagreb,15.97,45.81,3/27/2006,10/26/2006,Not applicable,Wildlife (species unspecified),1,1,wild,193,3139
India,Tehatta-1,88.31,23.43,9/13/2011,12/27/2011,Village,Birds,849,2285,domestic,1105,16960
United Kingdom,Anstruther,-2.73,56.22,3/29/2006,4/30/2006,Not applicable,Wildlife (species unspecified),1,1,wild,152,2342
Saudi Arabia,Al-Diebaa,47.03787,24.17023,1/28/2008,1/28/2008,Farm,Birds,1000,1000,domestic,409,10220
Turkey,Edirne,26.442036,40.869491,3/8/2008,4/11/2008,Village,Birds,22,22,domestic,467,10454
United States of America,Eaton County,-84.847,42.582,3/7/2023,12/31/1969,Backyard,Birds,0,0,domestic,4247,115794
Nepal,Sharamatinamati,87.85,26.48,2/16/2009,2/24/2009,Village,Birds,150,150,domestic,604,11791
Bhutan,Burkhey,89.5112,26.8895,3/13/2010,3/24/2010,Village,Birds,2,2,domestic,823,13374
Cambodia,Knar Thmey,103.85,13.3,2/19/2013,2/22/2013,Farm,Birds,10,10,domestic,1333,22192
Denmark,Kerteminde,10.581666,55.393055,5/21/2006,6/29/2006,Not applicable,Wildlife (species unspecified),1,1,wild,187,3088
Cambodia,La-ak,105.89,11.78,12/15/2009,12/26/2009,Village,Birds,143,143,domestic,791,12756
Ghana,AFLAO,1.18885,6.112883,6/12/2007,8/20/2007,Farm,Birds,350,350,domestic,213,4049
Thailand,Village No 7,100.4737,16.50175,1/7/2008,2/12/2008,Village,Birds,30,30,domestic,441,10070
China (People's Rep. of),Xinjiang Production and Construction Corps,87.62,43.79,7/1/2012,7/21/2012,Farm,Birds,1600,5500,domestic,1152,21491
Myanmar,Kyauk sit pon,95.1656,22.1722,2/11/2015,3/23/2015,Farm,Birds,134284,134284,domestic,1708,35625
Indonesia,Molosipat,122.3451,0.8121,4/5/2011,12/31/1969,Village,Birds,153,153,domestic,1046,16428
India,Khargram,88.16,24.1,1/17/2010,6/1/2010,Village,Birds,17,17,domestic,799,13060
Slovenia,Zalog pri Cerkljah na Gorenjskem,14.51712,46.23085,2/23/2023,12/31/1969,Farm,Birds,316,316,domestic,4926,114685
Romania,Jaristea,27.066666,45.783333,5/21/2006,6/30/2006,Village,Birds,77,116,domestic,153,2505
Iran,SHAHRAM KOLA,52.63361,36.43689,10/16/2011,1/17/2012,Farm,Birds,1022,1250,domestic,1127,17126
Vietnam,Ninh Loi,105.5196,9.4983,8/23/2017,9/23/2017,Backyard,Birds,600,2600,domestic,2353,51261
Laos,Donglankham,105.896531,14.882056,7/19/2017,9/29/2017,Farm,Birds,8750,8750,domestic,2338,51028
Myanmar,Ye Oo,95.5412,22.4901,4/24/2006,4/26/2006,Farm,Birds,0,0,domestic,50,718
Germany,Kirkel,7.304,49.318,3/8/2023,12/31/1969,Not applicable,Strigidae (unidentified),1,1,wild,4215,115790
Bhutan,Alubari,89.4412,27.0832,10/9/2016,10/15/2016,Backyard,Birds,13,13,domestic,2053,43085
Slovakia,RVPS Galanta (SK00700.) ,17.53,48.21,1/30/2023,12/31/1969,Farm,Birds,1530,0,domestic,4886,113438
United States of America,Northumberland County,-76.819,40.89,2/28/2023,12/31/1969,Backyard,Birds,208,0,domestic,4309,115374
Russia,Sladkovo,70.33,55.53,8/26/2005,10/27/2005,Village,Birds,21,21,domestic,235,3666
Bangladesh,Mohakhali Wireless Ramna Park Dhaka University Suhraward Uddan Hemayetpur Dhamrai,90.394991,23.996073,1/13/2017,3/15/2017,Other,House Crow,124,166,wild,2250,48932
Serbia,Palić Ludosko jezero,19.75214,46.10002,1/22/2023,12/31/1969,Body of water,Greylag Goose,2,2,wild,4859,112715
India,Molkera,77.3,17.54,4/30/2016,9/4/2016,Farm,Birds,8200,8200,domestic,1946,40236
Sweden,Nyköping,17.01,58.75,3/29/2006,4/25/2006,Not applicable,Wildlife (species unspecified),1,1,wild,147,12312
Slovakia,Cadastral territory of the Turňa nad Bodvou municipality,20.89,48.61,1/30/2023,12/31/1969,Body of water,Mute Swan,7,7,wild,4860,113672
Germany,Stolzenau,9.0111,52.4579,2/12/2023,2/27/2023,Not applicable,Cygnus (unidentified),1,1,wild,4023,115167
United Kingdom,Llancahuito,-72.9758,-38.7934,2/27/2023,12/31/1969,Backyard,Birds,9,15,domestic,4954,115654
Germany,Równe,17.73668,50.19019,1/22/2023,12/31/1969,Backyard,Birds,68,120,domestic,4256,113037
Germany,Straubing-Bogen,12.48,48.82,4/26/2006,9/2/2006,Not applicable,Wildlife (species unspecified),0,2,wild,125,2177
India,City,18.08,59.33,3/15/2006,4/25/2006,Not applicable,Wildlife (species unspecified),10,10,wild,4950,12311
Germany,Weakley County,-88.7147,36.2879,12/7/2022,3/12/2023,Backyard,Birds,0,0,domestic,4381,110588
Japan,Towada city,140.5627,40.283,5/7/2008,3/31/2009,Not applicable,Wildlife (species unspecified),1,1,wild,481,10738
Slovenia,Cerknica,14.3572,45.771,2/24/2023,2/28/2023,Body of water,Mute Swan,1,1,wild,4825,115075
Korea (Dem People's Rep. of),Tudan Duck Factory,125.675,38.978,4/18/2013,5/8/2013,Farm,Birds,44000,166000,domestic,1369,22510
Guatemala,Departamento de Izabal Municipio de Puerto Barrios Aldea El Quetzalito.,-88.4486,15.8573,1/25/2023,12/31/1969,Natural park,Brown Pelican,11,11,wild,4903,114092
Germany,City,18.08,59.33,3/15/2006,4/25/2006,Not applicable,Wildlife (species unspecified),10,10,wild,4026,12311
Japan,Wakaba-ku 2,140.2170679,35.5956415,3/15/2011,3/20/2011,Farm,Birds,82,82,domestic,963,16160
Türkiye,Weakley County,-88.7147,36.2879,12/7/2022,3/12/2023,Backyard,Birds,0,0,domestic,4878,110588
Hong Kong,Yuen Po Street,114.17389,22.32596,6/24/2012,7/25/2012,Not applicable,Birds,0,1,domestic,1157,21495
Mongolia,Doitiin tsagaan Lake,102.6401,47.5886,5/21/2009,7/28/2009,Village,Wildlife (species unspecified),1,9,wild,675,12152
Iran,Darzi Naghib,52.61894,36.65387,12/9/2007,8/2/2008,Village,Birds,14,14,domestic,436,9998
Panama,Weakley County,-88.7147,36.2879,12/7/2022,3/12/2023,Backyard,Birds,0,0,domestic,4789,110588
Korea (Rep. of),Gapje-dong,128.464106,35.491875,5/11/2008,5/14/2008,Farm,Birds,2500,2500,domestic,470,10708
Ireland,Kilcolman nature reserve,-8.6093,52.25,2/13/2023,12/31/1969,Natural park,Whooper Swan,0,1,wild,4735,114374
United States of America,Whatcom County,-122.5976,48.9131,3/4/2015,6/4/2015,Not applicable,American wigeon,0,0,wild,1690,35318
Romania,Trojiško lake,15.8755,46.5693,12/21/2022,12/28/2022,Body of water,Mute Swan,1,1,wild,4730,111183
Israel,BEZET,35.13459599,33.070626385,5/15/2015,5/17/2015,Farm,Birds,110,0,domestic,1751,36001
Nepal,Pokhara sub-metropolitan city-18,84.02174,28.17322,2/27/2017,3/4/2017,Backyard,Birds,0,0,domestic,2209,48102
Chinese Taipei,Bemin District,120.11985,23.24313,2/13/2023,12/31/1969,Farm,Birds,643,643,domestic,4753,114838
Canada,Chilliwack,-121.95099,49.171042,2/1/2015,3/14/2015,Backyard,Birds,81,94,domestic,1700,34724
Chile,Playa Penco,-72.9974,-36.7368,2/25/2023,12/31/1969,Other,Kelp Gull,1,1,wild,4775,115655
Nigeria,Mingalardon,96.1024,17.0184,2/18/2010,3/15/2010,Farm,Birds,2,2,domestic,510,13116
Libya,Almanara,24.0019,32.0513,1/31/2015,6/29/2015,Backyard,Birds,8,11,domestic,1716,35113
Germany,Whatcom County,-121.866,48.796,1/15/2015,4/14/2015,Not applicable,Green-winged Teal,0,0,wild,4530,34058
Turkey,Moralilar,27.842024,38.855671,5/13/2015,5/14/2015,Farm,Birds,137,170000,domestic,1744,35630
Slovenia,lake Komarnik,15.8108,46.5666,11/12/2022,11/17/2022,Body of water,Mute Swan,4,4,wild,4671,109081
